x|y|z|qx|qy|qz|qw|wx|wy|wz|vx|vy|ax|ay|yaw|yawv|yawa|fx|fy|fvx|fvy|fax|fay|fyaw|fyawv|fyawa|steer|gas|brake|Ax|SW||wheelbase|SR|K|v|curv_yawv|SW_yawv|
503.741907|-3.544125|0.514287|0.001825|-0.003996|0.128016|0.991762|0.005182|0.000559|0.283813|1.649094|0.937742|0.694337|1.028053|0.256728|0.283938|0.168281|503.729892|-3.475186|1.676069|0.879299|1.001125|0.436026|0.25668|0.283431|0.167159|8|0.332782|0|1|8|||||1.89271604425017|0.149748294711733|5.98695576323477|0.063317923424589
503.826542|-3.500947|0.514352|0.001968|-0.00398|0.135161|0.990814|0.003889|0.000745|0.292412|1.683118|0.990277|0.667423|1.071376|0.271144|0.292553|0.174743|503.813236|-3.428456|1.712756|0.92786|1.001679|0.450781|0.271091|0.292115|0.170409|8|0.334633|0|1|8|||||1.94793667636707|0.149961240292882|5.99612744846545|0.06274226879365
503.912962|-3.455221|0.514375|0.002081|-0.003956|0.142515|0.989783|0.002745|0.000872|0.301113|1.715862|1.044844|0.642688|1.109831|0.285994|0.301262|0.172911|503.898255|-3.379101|1.748279|0.978593|1.002934|0.464688|0.285935|0.300831|0.171756|8|0.336456|0|1|8|||||2.00352781899578|0.15015064784615|6.00438330300267|0.062226343770852
504.00111|-3.406848|0.514358|0.002173|-0.003925|0.150074|0.988665|0.002094|0.001005|0.309718|1.747346|1.101276|0.616454|1.146561|0.301277|0.309871|0.172298|503.984886|-3.327025|1.782619|1.031377|1.004516|0.477724|0.301213|0.309526|0.172129|8|0.338202|0|1|8|||||2.05948270575162|0.150293080459269|6.01078606239042|0.061827688899691
504.090926|-3.355731|0.51431|0.002257|-0.003888|0.157838|0.987455|0.00204|0.001229|0.318395|1.777438|1.159564|0.587075|1.184409|0.316991|0.31855|0.174902|504.073063|-3.272134|1.815704|1.086128|1.005793|0.490211|0.316926|0.318257|0.173091|8|0.339919|0|1|8|||||2.11576346693103|0.150421824071686|6.01666640479993|0.061462689841394
504.182345|-3.301774|0.514243|0.00235|-0.003844|0.165807|0.986148|0.002499|0.001563|0.327188|1.805987|1.219802|0.554797|1.224495|0.333142|0.32734|0.176322|504.162713|-3.214331|1.847432|1.142831|1.006548|0.502678|0.333075|0.327035|0.17415|8|0.341637|0|1|8|||||2.1723415222255|0.150544928895417|6.02234618543806|0.061111165785178
504.275293|-3.244874|0.514169|0.00246|-0.003793|0.173983|0.984738|0.003223|0.001951|0.336018|1.832843|1.282104|0.519311|1.266964|0.349734|0.336164|0.176652|504.253754|-3.153513|1.877686|1.201525|1.006686|0.515584|0.349664|0.33584|0.174899|8|0.343369|0|1|8|||||2.22920771580869|0.150654422025525|6.0275065784627|0.060792660906374
504.369688|-3.184921|0.514097|0.00259|-0.003735|0.182364|0.983221|0.003928|0.002317|0.344877|1.857828|1.346594|0.480013|1.31194|0.366768|0.345018|0.177596|504.346098|-3.089577|1.906323|1.262279|1.006065|0.529258|0.366695|0.34468|0.175658|8|0.345143|0|1|8|||||2.2863542276231|0.150755292349572|6.03234724592359|0.060494646259758
504.465439|-3.121798|0.514034|0.002738|-0.00367|0.190949|0.981589|0.004428|0.002601|0.353795|1.880756|1.413386|0.437152|1.358805|0.384246|0.353932|0.178929|504.439646|-3.022409|1.933185|1.32518|1.004681|0.543857|0.384169|0.353567|0.17659|8|0.346985|0|1|8|||||2.34378033881697|0.150853300603445|6.03709893044322|0.060202822013549
504.562447|-3.055385|0.513983|0.002895|-0.003601|0.19974|0.979838|0.00465|0.002765|0.362772|1.901465|1.482542|0.391466|1.406257|0.402171|0.362908|0.180063|504.53429|-2.951898|1.958119|1.390305|1.002719|0.559332|0.402089|0.362506|0.177582|8|0.348906|0|1|8|||||2.4014949533959|0.150950140239682|6.04182984797632|0.059912974129319
504.660605|-2.985559|0.513944|0.003056|-0.003529|0.208734|0.977961|0.004622|0.002808|0.371801|1.919829|1.554062|0.343411|1.453247|0.420547|0.371938|0.181126|504.629918|-2.877928|1.980987|1.457703|1.000408|0.575509|0.420459|0.371499|0.178588|8|0.350899|0|1|8|||||2.45951367761556|0.151045714191823|6.04653669312855|0.059625295176455
504.7598|-2.912198|0.513914|0.003215|-0.003456|0.217932|0.975953|0.004445|0.002767|0.380884|1.935732|1.627909|0.293115|1.499254|0.439375|0.381024|0.182332|504.726409|-2.800385|2.001662|1.527389|0.997916|0.592193|0.439282|0.380548|0.179651|8|0.352957|0|1|8|||||2.51784986040967|0.15114006835105|6.05122187079884|0.059339628075825
504.859915|-2.835182|0.513892|0.003369|-0.003382|0.227332|0.973806|0.004244|0.002703|0.390031|1.949064|1.704028|0.240543|1.544109|0.458659|0.390174|0.183616|504.823637|-2.719159|2.020027|1.599355|0.995334|0.609234|0.45856|0.389659|0.180778|8|0.355071|0|1|8|||||2.57651809556114|0.151234722811111|6.05594686050965|0.059052228268161
504.960827|-2.754394|0.513873|0.003519|-0.003307|0.236934|0.971514|0.004119|0.002675|0.399241|1.959704|1.782362|0.185462|1.587926|0.478402|0.399387|0.18487|504.921472|-2.634141|2.035962|1.673574|0.992665|0.626556|0.478296|0.398832|0.181936|8|0.357233|0|1|8|||||2.63552484316122|0.151329250807446|6.06069509870472|0.058764117190436
505.062405|-2.669718|0.513855|0.003668|-0.00323|0.246737|0.96907|0.004117|0.002725|0.408515|1.967517|1.862867|0.127449|1.631004|0.498608|0.408661|0.186095|505.019775|-2.545223|2.049344|1.750015|0.989822|0.644166|0.498494|0.408066|0.183098|8|0.35944|0|1|8|||||2.69487723849548|0.151422853023101|6.06543511218438|0.058477207893267
505.164512|-2.58104|0.513837|0.003819|-0.00315|0.25674|0.966468|0.004231|0.002866|0.417851|1.972345|1.945514|0.066053|1.673629|0.519279|0.417997|0.187322|505.118401|-2.452301|2.060031|1.828646|0.986665|0.662132|0.519158|0.417363|0.184256|8|0.361696|0|1|8|||||2.75457327262809|0.151516390632006|6.07020178647614|0.058189392889373
505.267004|-2.488247|0.513818|0.003976|-0.003065|0.266941|0.9637|0.004418|0.003088|0.42725|1.97401|2.030284|0.000932|1.715916|0.540418|0.427395|0.188561|505.217195|-2.355272|2.067868|1.909442|0.983044|0.68055|0.540289|0.42672|0.185412|8|0.364008|0|1|8|||||2.81461308473971|0.151608760121806|6.0749513431045|0.057903317678362
505.369676|-2.391197|0.513799|0.00419|-0.002954|0.277367|0.96075|0.009882|0.007553|0.440696|1.968036|2.120361|-0.252379|1.925564|0.562087|0.440971|0.374388|505.315834|-2.253924|2.070411|1.99355|0.949389|0.71571|0.562029|0.440362|0.252154|8|0.368277|0|1|8|||||2.87416828168098|0.153213715009913|6.14033584779178|0.054036730609505
505.47209|-2.289594|0.513765|0.004639|-0.00273|0.288178|0.957562|0.015837|0.013613|0.459818|1.953623|2.217064|-0.279465|1.94129|0.584626|0.460005|0.35084|505.413888|-2.147966|2.067291|2.081654|0.935721|0.740823|0.584552|0.456365|0.29357|8|0.37398|0|1|8|||||2.93376472376314|0.155556100427379|6.23532559075459|0.048657433916338
